2WN,2CNTZ,2CNTR,7WN,7CNTZ,7CNTR
1263.7,182.0,241.0,1267.45,346.0,270.0
1265.99,173.0,277.0,1268.94,127.0,307.0
1270.23,321.0,19.0,1271.21,238.0,221.0
1273.2,21.0,273.0,1275.68,46.0,21.0
1280.69,154.0,129.0,1278.12,183.0,45.0
1283.07,23.0,321.0,1279.74,38.0,241.0
1283.8,115.0,339.0,1280.75,34.0,228.0
1284.62,209.0,271.0,1284.09,68.0,339.0
1286.0,44.0,387.0,1286.83,276.0,187.0
1289.18,256.0,220.0,1287.63,175.0,34.0
1290.08,129.0,209.0,1289.88,53.0,27.0
1290.3,66.0,284.0,1290.88,268.0,205.0
1290.34,76.0,307.0,1291.26,90.0,315.0
1291.11,375.0,57.0,1294.85,142.0,263.0
1294.44,90.0,199.0,1295.32,138.0,90.0
1296.2,252.0,176.0,1297.19,49.0,32.0
1302.45,20.0,331.0,1298.47,247.0,160.0
1304.78,154.0,342.0,1300.61,375.0,373.0
1308.06,240.0,300.0,1300.86,153.0,70.0
1308.94,228.0,283.0,1304.62,232.0,208.0
1312.1,145.0,111.0,1305.3,151.0,66.0
1313.42,11.0,231.0,1312.28,317.0,81.0
1328.4,87.0,376.0,1312.65,279.0,96.0
1328.55,285.0,182.0,1327.83,298.0,172.0
1331.63,4.0,252.0,1329.7,56.0,344.0
1336.37,101.0,268.0,1330.46,102.0,129.0
1339.53,374.0,50.0,1334.11,97.0,52.0
1340.13,98.0,262.0,1336.72,133.0,303.0
1340.42,51.0,222.0,1341.23,16.0,4.0
1341.37,295.0,52.0,1342.44,323.0,145.0
1346.07,304.0,40.0,1342.97,372.0,359.0
1351.1,59.0,378.0,1353.67,24.0,270.0
1353.59,38.0,336.0,1354.92,202.0,87.0
1354.98,92.0,260.0,1355.4,30.0,176.0
1355.32,109.0,311.0,1356.54,86.0,307.0
1355.86,239.0,204.0,1356.86,190.0,206.0
1357.64,68.0,394.0,1359.25,21.0,113.0
1362.12,248.0,72.0,1360.55,14.0,170.0
1363.53,72.0,394.0,1361.59,232.0,72.0
1364.03,299.0,137.0,1362.29,372.0,369.0
1364.51,368.0,61.0,1363.99,125.0,195.0
1365.4,81.0,388.0,1364.0,129.0,191.0
1368.28,337.0,17.0,1366.07,335.0,182.0
1378.09,355.0,5.0,1375.98,350.0,227.0
1384.3,33.0,139.0,1387.16,394.0,396.0
1384.36,14.0,163.0,1387.73,185.0,141.0
1386.65,382.0,7.0,1388.93,102.0,99.0
1392.29,284.0,33.0,1389.24,391.0,380.0
1395.14,397.0,51.0,1394.37,396.0,378.0
1409.99,317.0,45.0,1404.12,394.0,392.0
1410.28,383.0,53.0,1406.62,330.0,173.0
1410.64,30.0,269.0,1408.34,341.0,54.0
1412.77,72.0,233.0,1408.69,208.0,226.0
1416.19,145.0,280.0,1414.31,52.0,138.0
1416.28,126.0,297.0,1414.67,245.0,138.0
1416.79,175.0,171.0,1414.92,40.0,175.0
1417.0,280.0,167.0,1415.77,64.0,234.0
1417.36,370.0,71.0,1417.12,88.0,295.0
1418.13,121.0,348.0,1417.81,224.0,227.0
1418.3,118.0,315.0,1418.81,77.0,272.0
1419.94,106.0,374.0,1418.99,142.0,216.0
1421.09,189.0,274.0,1420.36,175.0,137.0
1421.67,25.0,299.0,1420.59,376.0,394.0
1421.88,120.0,376.0,1420.9,251.0,109.0
1423.17,33.0,207.0,1421.45,163.0,165.0
1423.86,289.0,190.0,1422.7,116.0,200.0
1424.15,389.0,43.0,1423.19,36.0,231.0
1424.59,261.0,203.0,1423.92,287.0,125.0
1426.49,96.0,131.0,1425.44,123.0,97.0
1428.66,25.0,222.0,1426.9,48.0,80.0
1428.98,70.0,392.0,1428.48,378.0,396.0
1429.21,70.0,395.0,1429.76,40.0,190.0
1429.47,388.0,42.0,1430.02,8.0,335.0
1430.35,68.0,389.0,1430.3,108.0,183.0
1431.15,84.0,206.0,1430.68,383.0,377.0
1434.75,397.0,37.0,1431.14,32.0,117.0
1435.86,49.0,365.0,1432.17,9.0,233.0
1436.97,220.0,337.0,1433.31,391.0,388.0
1437.42,133.0,365.0,1434.17,299.0,121.0
1437.89,13.0,310.0,1439.05,188.0,111.0
1439.74,111.0,391.0,1439.82,72.0,237.0
