9WN,9CNTZ
1052.82,20.0
1053.6,277.0
1057.47,177.0
1058.08,363.0
1060.3,189.0
1064.05,367.0
1065.43,233.0
1069.41,215.0
1081.56,275.0
1084.27,71.0
1093.3,22.0
1095.02,131.0
1106.38,268.0
1109.14,354.0
1111.36,303.0
1116.96,319.0
1121.92,379.0
1131.38,60.0
1143.11,251.0
1146.67,212.0
1153.65,26.0
1170.55,258.0
1172.66,236.0
1182.47,287.0
1188.59,351.0
1191.46,30.0
1193.37,105.0
1195.7,187.0
1196.46,381.0
1201.67,97.0
1210.41,165.0
1212.36,88.0
1230.6,262.0
1234.46,347.0
1236.36,305.0
1236.83,127.0
1237.2,28.0
1237.7,305.0
1240.29,177.0
1246.54,375.0
1247.58,289.0
1251.22,106.0
1253.87,332.0
1256.5,247.0
1259.88,326.0
1260.77,29.0
1265.5,119.0
1268.4,205.0
1269.54,39.0
1271.46,127.0
1271.71,139.0
1276.71,169.0
1280.8,254.0
1281.22,251.0
1286.09,31.0
1286.45,133.0
1287.99,359.0
1289.57,22.0
1290.26,203.0
1290.67,124.0
1294.71,324.0
1295.09,271.0
1297.03,256.0
1297.55,300.0
1298.88,311.0
1301.14,193.0
1302.84,32.0
1306.65,63.0
1307.93,150.0
1309.34,284.0
1311.9,148.0
1312.94,166.0
1329.42,5.0
1331.1,332.0
1333.72,358.0
1336.79,18.0
1338.82,240.0
1341.94,330.0
1349.42,231.0
1349.97,134.0
1352.25,150.0
1352.42,49.0
1355.17,207.0
1356.76,334.0
1357.17,330.0
1359.19,137.0
1359.64,64.0
1360.26,72.0
1360.93,172.0
1363.65,125.0
1364.21,4.0
1380.11,384.0
1383.26,395.0
1383.69,58.0
1388.3,226.0
1391.67,392.0
1393.54,400.0
1398.77,337.0
1409.08,386.0
1411.45,227.0
1414.1,178.0
1414.69,117.0
1415.04,68.0
1415.69,7.0
1416.29,118.0
1416.96,372.0
1417.57,229.0
1418.38,100.0
1419.82,44.0
1420.24,104.0
1420.94,335.0
1421.34,65.0
1422.2,87.0
1422.81,188.0
1423.71,91.0
1424.9,376.0
1427.38,62.0
1427.85,391.0
1428.83,80.0
1428.91,42.0
1431.93,300.0
1432.62,365.0
1432.66,48.0
1432.95,94.0
1433.96,106.0
1434.34,109.0
1434.93,94.0
1435.74,77.0
1436.66,233.0
1437.44,174.0
1437.76,366.0
1440.25,3.0
1442.82,46.0
1442.84,10.0
1443.84,161.0
1447.98,389.0
1449.52,234.0
1455.41,392.0
1469.55,397.0
1662.48,50.0
1664.52,241.0
1740.58,348.0
1747.1,338.0
2882.87,360.0
2900.09,231.0
2900.3,85.0
2900.72,15.0
2902.23,136.0
2902.29,12.0
2904.95,14.0
2905.52,195.0
2907.14,270.0
2909.15,114.0
2910.35,241.0
2910.72,8.0
2911.52,163.0
2913.09,198.0
2913.68,155.0
2914.19,84.0
2914.58,159.0
2915.18,95.0
2915.64,217.0
2916.78,16.0
2918.83,101.0
2918.86,122.0
2919.25,202.0
2920.58,35.0
2921.43,40.0
2923.47,141.0
2924.42,254.0
2925.04,5.0
2927.4,399.0
2929.81,246.0
2935.03,13.0
2935.92,73.0
2936.85,298.0
2937.21,258.0
2938.97,249.0
2939.09,98.0
2942.5,13.0
2944.9,368.0
2947.64,283.0
2948.12,7.0
2948.67,273.0
2950.66,253.0
2950.91,158.0
2951.13,79.0
2952.2,83.0
2952.47,346.0
2958.52,370.0
2960.35,68.0
2962.27,107.0
2963.06,108.0
2965.36,394.0
2965.58,20.0
2966.89,394.0
2967.93,77.0
2968.87,132.0
2970.11,173.0
2971.21,190.0
2971.58,84.0
2973.51,383.0
2973.73,214.0
2976.77,276.0
2977.6,145.0
2983.09,221.0
2983.3,388.0
2988.37,295.0
2992.84,1.0
2993.63,35.0
2994.19,28.0
2997.76,345.0
3003.22,374.0
3003.79,1.0
3006.61,310.0
3019.71,369.0
3019.92,70.0
3025.7,264.0
3042.0,378.0
3044.49,49.0
3047.56,259.0
3059.76,377.0
3064.44,382.0
3072.91,397.0
3082.31,401.0
3090.43,386.0
3107.72,402.0
