7CNTZ,7CNTR,7WN,10WN,10CNTZ,10CNTR
293.0,166.0,2905.33,2909.69,18.0,80.0
364.0,384.0,2906.64,2910.38,199.0,363.0
11.0,5.0,2907.96,2912.21,25.0,174.0
166.0,21.0,2908.15,2912.81,30.0,204.0
26.0,350.0,2911.08,2913.84,11.0,323.0
308.0,159.0,2912.87,2914.24,40.0,381.0
36.0,156.0,2914.01,2914.67,69.0,123.0
47.0,230.0,2914.25,2915.49,51.0,172.0
58.0,35.0,2915.67,2915.77,298.0,312.0
83.0,41.0,2915.87,2917.53,193.0,305.0
59.0,321.0,2916.43,2921.41,56.0,399.0
241.0,238.0,2916.84,2921.58,93.0,111.0
18.0,4.0,2918.76,2921.85,234.0,85.0
270.0,134.0,2920.44,2922.46,4.0,357.0
3.0,94.0,2923.12,2922.76,184.0,389.0
42.0,23.0,2924.94,2923.03,292.0,315.0
6.0,351.0,2925.58,2923.6,34.0,180.0
329.0,109.0,2925.98,2924.7,322.0,317.0
14.0,354.0,2926.34,2926.39,42.0,76.0
261.0,57.0,2928.71,2927.56,280.0,116.0
116.0,255.0,2932.89,2934.24,5.0,337.0
195.0,117.0,2933.12,2936.93,14.0,379.0
275.0,142.0,2935.14,2936.99,379.0,42.0
51.0,347.0,2935.42,2938.02,312.0,47.0
5.0,0.0,2938.05,2939.98,242.0,237.0
49.0,362.0,2940.52,2940.94,26.0,381.0
380.0,368.0,2941.32,2941.87,18.0,359.0
29.0,6.0,2941.99,2942.69,250.0,213.0
133.0,14.0,2942.01,2943.69,273.0,58.0
293.0,159.0,2945.87,2944.58,231.0,352.0
355.0,232.0,2948.21,2948.83,28.0,108.0
322.0,149.0,2950.25,2949.91,339.0,392.0
12.0,16.0,2950.44,2953.51,343.0,257.0
351.0,18.0,2952.43,2955.74,216.0,273.0
376.0,370.0,2953.61,2956.73,9.0,351.0
206.0,243.0,2953.71,2957.26,20.0,337.0
79.0,330.0,2953.74,2961.32,21.0,148.0
61.0,338.0,2956.01,2962.1,37.0,190.0
20.0,19.0,2960.63,2962.44,394.0,34.0
200.0,38.0,2962.07,2964.57,314.0,88.0
44.0,54.0,2963.21,2965.93,383.0,4.0
234.0,91.0,2963.28,2966.56,251.0,54.0
400.0,401.0,2966.58,2968.6,172.0,223.0
56.0,312.0,2968.05,2968.97,200.0,88.0
302.0,103.0,2968.26,2970.16,334.0,151.0
279.0,95.0,2969.54,2972.46,122.0,272.0
144.0,258.0,2971.6,2972.92,73.0,163.0
396.0,398.0,2971.99,2973.54,384.0,3.0
141.0,70.0,2973.34,2975.97,116.0,33.0
55.0,19.0,2975.68,2976.86,113.0,28.0
244.0,80.0,2979.15,2980.63,67.0,31.0
127.0,192.0,2980.52,2987.33,290.0,54.0
146.0,63.0,2983.1,2989.48,103.0,130.0
315.0,52.0,2983.89,2991.19,317.0,140.0
2.0,66.0,2991.12,2993.04,23.0,400.0
344.0,127.0,2996.13,2993.52,1.0,373.0
4.0,362.0,2997.63,2997.5,28.0,401.0
4.0,366.0,3000.23,2999.23,1.0,278.0
1.0,219.0,3006.77,3003.05,357.0,207.0
350.0,39.0,3011.87,3007.48,349.0,397.0
339.0,119.0,3013.13,3012.45,351.0,59.0
89.0,178.0,3013.81,3013.72,177.0,243.0
309.0,187.0,3022.95,3016.99,116.0,399.0
384.0,357.0,3026.47,3024.58,282.0,377.0
171.0,13.0,3028.83,3037.75,399.0,36.0
70.0,163.0,3038.94,3041.91,149.0,353.0
204.0,13.0,3054.63,3042.39,117.0,397.0
398.0,394.0,3058.3,3062.23,401.0,6.0
397.0,399.0,3059.43,3069.88,396.0,45.0
400.0,398.0,3065.42,3070.75,402.0,1.0
401.0,373.0,3078.59,3082.65,390.0,58.0
388.0,402.0,3082.94,3093.64,399.0,13.0
390.0,392.0,3099.92,3104.12,375.0,1.0
